playlist_id,track_ids
7,4492 2273 734 20330 10888 8786 6651 2559 11716 10364
25,11878 11372 10839 10500 9568 6339 5620 800 20617 18986
29,14243 10005 3459 65 20586 18995 13803 13632 8278 5925
34,11710 11423 7510 6181 6012 3594 2893 2715 2541 1973
50,10827 10744 10155 9626 8769 8217 8133 8044 7365 6687
52,11945 11127 10377 6792 6659 3585 2692 423 369 13756
60,17626 16755 13374 5423 4010 1948 694 19867 18475 14472
64,12753 10915 4467 3867 1884 2672 18281 15038 14128 13838
77,3884 3617 3551 20330 10888 8786 6651 2559 4594 3684
80,16391 14683 10203 4532 3119 2988
106,8627 6876 6600 6191 5859 4359 3698 3660 3001 2812
138,11513 4450 19309 18154 15178 11747 6666 5886 1960 18225
143,133 19471 18848 18820 18795 16852 16580 15051 14983 12882
149,6246 5978 5707 5669 5658 4569 3875 3827 3576 3333
169,626 16226 11678 8374 7275 7220 7157 6901 13394 11559
180,8549 7939 7910 7475 6860 6562 6160 5831 4469 4302
210,10977 10921 10656 10567 10466 9753 9700 8861 8724 6884
231,12177 10481 10159 9886 8640 8577 8147 7637 7081 3669
241,5273 4496 3651 2120 1531 1102 456 18768 17545 15610
244,7092 6475 6354 6059 5453 4946 4632 3252 2845 2109
256,9937 9354 277 20130 6943 20357 12666 10177 8167 18257
258,5805 5676 5432 4429 3967 2537 2527 2130 871 855
265,7314 7108 6326 5477 4427 2534 1658 1303 1245 19132
268,18773 17004 15964 10786 8880 8784 8045 6697 5750 5688
271,18920 18619 18401 17995 16475 14437 14306 12119 9488 7506
272,6672 6624 6461 5749 3961 3163 3160 2880 1731 20609
275,7092 6475 6354 6059 5903 5453 4946 4632 3252 2845
277,12177 10481 10159 9886 8640 8577 8147 7637 7081 3669
290,19700 19533 16227 15282 13406 12711 8619 8502 7504 4456
310,7807 7350 7264 7153 6773 6716 6648 5036 4013 3749
326,4302 3802 3630 3401 2894 2869 1645 1487 1048 443
365,16873 16190 15064 14659 14282 14046 13210 10217 10196 8733
392,18531 17906 15435 15013 14308 12049 9064 8223 8124 7494
407,13579 13384 12194 11982 11866 9805 8962 8102 7451 7133
413,14520 14399 14249 12311 5359 1714 700 138 20196 19745
422,2376 1295 533 508 13610 2675 15718 8542 8172 7714
432,10873 7719 7176 5482 5297 19519 19024 7550 4908 18082
455,14483 13198 13172 12393 7905 7228 6786 6743 3153 3085
470,3797 19911 16514 15941 15053 10636 7693 7448 6610 5846
492,3171 159 20588 16680 15375 12018 10752 654 20147 19622
495,14037 11573 10572 9859 9508 7904 7700 7499 7076 7039
497,6246 5978 5707 5669 5658 4569 4460 4444 3875 3827
505,19919 19416 18937 18858 18346 18292 17442 16255 15557 13999
509,4161 3925 3745 3644 2984 2437 2037 1975 1764 1196
514,6475 6059 5453 2845 2109 675 625 10
529,1136 20483 12134 6537 8563 3846 361 19202 18295 16487
532,10013 9790 9659 9096 8798 8745 8018 7466 6937 6464
537,11407 10901 10366 10003 7605 7574 7555 7098 6273 6176
545,15948 11272 312 18019 1830
564,16276 15432 13876 13310 10777 7624 15252 5570 18259 9660
567,17221 16508 16204 15974 15952 15080 14818 14483 13198 13172
580,17694 9873 6671 2877 20071 17301 15706 14837 11870 11835
582,635 4696 3100 1790 20223 19339 17074 15472 12709 12123
592,9173 9098 8344 5631 4855 4471 4381 3037 1921 220
611,19651 17923 17815 15335 13465 11753 10715 9778 9339 7379
615,8498 20199 18416 16403 14670 14278 12305 4201 4037 4793
619,2166 2060 1458 1370 1192 914 666 14686 11420 7743
622,8452 7463 6918 4759 4566 4136 4102 3105 3018 2578
625,15937 15848 15288 14731 11755 10273 9683 9575 8543 5613
631,1157 1009 370 14199 11238 10393 1667 19494 17602 17481
633,9269 8381 7941 7807 7350 7264 7153 6773 6716 6648
636,18279 18057 17388 17287 16861 15543 14384 13729 10926 10228
642,3648 14111 3964 2782 1534 15805 14935 12813 12261 11474
646,19319 19033 18617 18194 16115 13740 13498 12806 10965 10332
676,6246 5978 5707 5669 5658 4569 4460 4444 3875 3827
683,7264 7153 6773 6716 6648 5036 4013 3749 3672 3500
686,10257 9062 8823 8406 8139 7718 6456 6182 4150 2586
704,6353 5235 3830 2048 565 551 15648 13705 12410 5853
709,13875 10149 9606 9246 8047 7961 5648 4689 3869 2711
714,15223 13749 11952 11756 8267 7193 7027 6420 19777 18741
719,10222 9053 6616 2676 1068 18169 16975 16274 15947 15448
721,7092 6475 6354 6059 5903 5453 4946 4632 3252 2845
724,10150 9724 9152 8380 7744 5739 5273 4839 4496 3651
731,10034 9333 9200 7925 6677 5799 5030 4162 3934 3790
735,11483 10885 10176 8625 8209 7868 6962 6708 6539 6261
737,12177 10481 10159 9886 8577 8147 7637 7081 4089 3669
740,13632 8278 7645 5925 2005 4651 18257 8431 4451 3175
744,5793 5212 5006 4523 3799 2049 1399 830 340 18826
746,2618 2236 910 123 8415 393 20153 12931 10738 8017
774,10742 10356 9566 8684 8303 7321 6735 6397 5947 5679
788,4475 18760 2466 20352 18841 17760 17085 15750 15626 13628
818,12177 10159 9886 8640 8577 8147 7637 3669 3256 2922
859,9099 8645 8171 8004 6920 5374 5209 5125 4778 4774
914,18729 18486 12095 9025 7055 1556 911 19590 19362 17925
924,19818 19380 19210 18819 16722 12632 12355 11196 8428 8010
925,20609 20238 18856 17778 14165 11534 9620 9471 8598 19381
926,19033 18617 18194 16115 13740 13498 12806 10965 10332 9970
927,6511 18717 12690 10062 9709 19579 18374 18340 17833 17779
949,5878 4993 4319 3996 1372 1149 1127 19719 19566 17517
957,279 20092 19042 18323 17971 15937 15848 15288 14731 11755
961,9834 9779 9504 9473 7888 6446 3341 3219 2836 1403
988,19921 19647 18367 16998 16725 16587 16117 16024 13071 12875
994,20291 18299 17879 16699 16351 15260 13579 13384 12194 11982
1016,8549 7939 7910 7475 6860 6562 6160 5831 4469 4302
1021,2578 2518 2349 2172 1490 568 316 222 6193 4443
1027,19852 18984 18938 17576 17151 17069 14963 14298 10435 7793
1046,13000 11976 11627 10913 10427 10150 9724 9152 8380 7744
1057,13556 12718 11750 11622 11363 8107 7895 7527 5870 5765
1065,19475 18344 18112 17647 17348 17111 17103 13960 12111 11595
1066,11573 9859 7904 7700 7499 7076 7039 6466 3622 2897
1087,7224 7195 6819 6709 6653 6544 5744 5440 5091 3388
1092,18920 18619 18401 17995 16475 14437 14306 12119 9488 7506
1099,13622 13597 12940 11971 11928 9715 9163 8358 8142 7814
1103,607 19146 18806 18608 18476 18200 17345 17201 12784 11286
1108,3204 19656 13391 6963 19507 18815 15430 10825 9425 8487
